Org Name	Station ID	State	County	HUC	Generated HUC	Station Latitude	Station Longitude	Station Horizontal Datum	Visit Num	Activity ID	Activity Start	Activity Start Zone	Activity Type	Activity Category-Rep Num	Habitat Class Name	Characteristic Name	Characteristic Description	Sample Fraction	Value Type	Statistic Type	Result Value as Text	Result Value Status	Result Value as Number	Units	Activity Comment	Result Comment	Result Measure Qualifier	Weight Basis	Temperature Basis	Duration Basis	Analytical Proc ID	All Result Detections/Thresholds	Analysis Date	Analysis Date Zone	Conf Level	Confidence Interval	Result Depth Height	Result Depth Height Unit	Result Depth Altitude Ref Point	Result Sampling Point
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106RPH	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		Bank erosion stability (choice list)	Bank erosion stability (choice list)~~~~~~~~~None		Actual		STAB	Validated		None	Phys Hab	Yes					~		2008-12-07 14:30:00	MST						
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106RPH	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		RBP2, Riparian Vegetation, Dominant Species Present (choice list)	RBP2, Riparian Vegetation, Dominant Species Present (choice list)~~~~~~~~~None		Actual		GRASSES	Validated		None	Phys Hab	Yes					~		2008-12-07 14:30:00	MST						
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106RPH	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		RBP2, Riparian Vegetation, Dominant Species Present (choice list)	RBP2, Riparian Vegetation, Dominant Species Present (choice list)~~~~~~~~~None		Actual		GRASSES	Validated		None	Phys Hab	Yes					~		2008-12-07 14:30:00	MST						
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106RPH	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		RBP2, Watershed, Predominant Surrounding Landuse (choice list)	RBP2, Watershed, Predominant Surrounding Landuse (choice list)~~~~~~~~~None		Actual		FOREST	Validated		None	Phys Hab	Yes					~		2008-12-07 14:30:00	MST						
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106RPH	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		RBP2, Watershed, Predominant Surrounding Landuse (choice list)	RBP2, Watershed, Predominant Surrounding Landuse (choice list)~~~~~~~~~None		Actual		FOREST	Validated		None	Phys Hab	Yes					~		2008-12-07 14:30:00	MST						
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106RPH	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		RBP2, Watershed, Predominant Surrounding Landuse (choice list)	RBP2, Watershed, Predominant Surrounding Landuse (choice list)~~~~~~~~~None		Actual		FIELD/PASTUR	Validated		None	Phys Hab	Yes					~		2008-12-07 14:30:00	MST						
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106RPH	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		RBP2, Watershed, Predominant Surrounding Landuse (choice list)	RBP2, Watershed, Predominant Surrounding Landuse (choice list)~~~~~~~~~None		Actual		FIELD/PASTUR	Validated		None	Phys Hab	Yes					~		2008-12-07 14:30:00	MST						
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106RPH	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		RBP2, Instream features, high water mark	RBP2, Instream features, high water mark~~~~~~~~~ft		Actual		90	Validated	90	ft	Phys Hab						~		2008-12-07 14:30:00	MST						
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106RPH	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		RBP2, Instream features, est. stream depth	RBP2, Instream features, est. stream depth~~~~~~~~~ft		Actual		0.92	Validated	.92	ft	Phys Hab						~		2008-12-07 14:30:00	MST						
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106RPH	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		RBP2, Instream features, est. stream width	RBP2, Instream features, est. stream width~~~~~~~~~ft		Actual		124	Validated	124	ft	Phys Hab						~		2008-12-07 14:30:00	MST						
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106RPH	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		RBP2, Watershed, Local Erosion (choice list)	RBP2, Watershed, Local Erosion (choice list)~~~~~~~~~None		Actual		NONE	Validated		None	Phys Hab	Yes					~		2008-12-07 14:30:00	MST						
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106RPH	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		RBP2, Habitat type, gravel-cobble (%)	RBP2, Habitat type, gravel-cobble (%)~~~~~~~~~%		Actual		75	Validated	75	%	Phys Hab						~		2008-12-07 14:30:00	MST						
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106RPH	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		RBP2, Instream Features, Channelized (Y/N) (choice list)	RBP2, Instream Features, Channelized (Y/N) (choice list)~~~~~~~~~None		Actual		NO	Validated		None	Phys Hab	yes evidence					~		2008-12-07 14:30:00	MST						
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106RPH	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		Bank vegetative stability (choice list)	Bank vegetative stability (choice list)~~~~~~~~~None		Actual		E	Validated		None	Phys Hab	Yes					~		2008-12-07 14:30:00	MST						
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106RPH	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		RBP2, Aquatic Vegetation, Dominant Type & Species (choice list)	RBP2, Aquatic Vegetation, Dominant Type & Species (choice list)~~~~~~~~~None		Actual		ATTACHED ALG	Validated		None	Phys Hab	Yes					~		2008-12-07 14:30:00	MST						
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106SC4	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		Kick Time	Kick Time~~~~~~~~~seconds		Actual		60	Validated	60	seconds	Sub Samp						~		2008-12-07 14:30:00	MST						
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106SC4	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		Slow Riffle	Slow Riffle~~~~~~~~~None		Actual		NO	Validated		None	Sub Samp						~		2008-12-07 14:30:00	MST						
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106SC4	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		Sandy Substrate (Choice List)	Sandy Substrate (Choice List)~~~~~~~~~None		Actual		NO	Validated		None	Sub Samp						~		2008-12-07 14:30:00	MST						
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106SC4	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		Rocky Substrate (Choice List)	Rocky Substrate (Choice List)~~~~~~~~~None		Actual		YES	Validated		None	Sub Samp						~		2008-12-07 14:30:00	MST						
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106SC4	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		Fast Riffle	Fast Riffle~~~~~~~~~None		Actual		NO	Validated		None	Sub Samp						~		2008-12-07 14:30:00	MST						
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106SC4	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		Kick Depth	Kick Depth~~~~~~~~~ft		Actual		2.5	Validated	2.5	ft	Sub Samp						~		2008-12-07 14:30:00	MST						
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106SC4	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		RBP2, Substrate, inorganic, cobble, 64-256 mm	RBP2, Substrate, inorganic, cobble, 64-256 mm~~~~~~~~~%		Actual		10	Validated	10	%	Sub Samp						~		2008-12-07 14:30:00	MST						
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106SC4	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		RBP2, Substrate, Inorganic, boulder, >256 mm	RBP2, Substrate, Inorganic, boulder, >256 mm~~~~~~~~~%		Actual		90	Validated	90	%	Sub Samp						~		2008-12-07 14:30:00	MST						
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106SC4	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		RBP2, Substrate, inorganic, bedrock	RBP2, Substrate, inorganic, bedrock~~~~~~~~~%		Actual		0	Validated	0	%	Sub Samp						~		2008-12-07 14:30:00	MST						
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106SC3	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		Kick Time	Kick Time~~~~~~~~~seconds		Actual		60	Validated	60	seconds	Sub Samp						~		2008-12-07 14:30:00	MST						
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106SC3	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		Slow Riffle	Slow Riffle~~~~~~~~~None		Actual		YES	Validated		None	Sub Samp						~		2008-12-07 14:30:00	MST						
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106SC3	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		Sandy Substrate (Choice List)	Sandy Substrate (Choice List)~~~~~~~~~None		Actual		NO	Validated		None	Sub Samp						~		2008-12-07 14:30:00	MST						
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106SC3	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		Rocky Substrate (Choice List)	Rocky Substrate (Choice List)~~~~~~~~~None		Actual		YES	Validated		None	Sub Samp						~		2008-12-07 14:30:00	MST						
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106SC3	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		Fast Riffle	Fast Riffle~~~~~~~~~None		Actual		NO	Validated		None	Sub Samp						~		2008-12-07 14:30:00	MST						
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106SC3	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		Kick Depth	Kick Depth~~~~~~~~~ft		Actual		2.5	Validated	2.5	ft	Sub Samp						~		2008-12-07 14:30:00	MST						
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106SC3	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		RBP2, Substrate, inorganic, cobble, 64-256 mm	RBP2, Substrate, inorganic, cobble, 64-256 mm~~~~~~~~~%		Actual		10	Validated	10	%	Sub Samp						~		2008-12-07 14:30:00	MST						
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106SC3	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		RBP2, Substrate, Inorganic, boulder, >256 mm	RBP2, Substrate, Inorganic, boulder, >256 mm~~~~~~~~~%		Actual		90	Validated	90	%	Sub Samp						~		2008-12-07 14:30:00	MST						
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106SC3	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		RBP2, Substrate, inorganic, bedrock	RBP2, Substrate, inorganic, bedrock~~~~~~~~~%		Actual		0	Validated	0	%	Sub Samp						~		2008-12-07 14:30:00	MST						
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106SC2	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		Slow Riffle	Slow Riffle~~~~~~~~~None		Actual		NO	Validated		None	Sub Samp						~		2008-12-07 14:30:00	MST						
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106SC2	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		Sandy Substrate (Choice List)	Sandy Substrate (Choice List)~~~~~~~~~None		Actual		NO	Validated		None	Sub Samp						~		2008-12-07 14:30:00	MST						
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106SC2	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		Rocky Substrate (Choice List)	Rocky Substrate (Choice List)~~~~~~~~~None		Actual		YES	Validated		None	Sub Samp						~		2008-12-07 14:30:00	MST						
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106SC2	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		RBP2, Substrate, inorganic, gravel, 2-64 mm	RBP2, Substrate, inorganic, gravel, 2-64 mm~~~~~~~~~%		Actual		20	Validated	20	%	Sub Samp						~		2008-12-07 14:30:00	MST						
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106SC2	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		Fast Riffle	Fast Riffle~~~~~~~~~None		Actual		YES	Validated		None	Sub Samp						~		2008-12-07 14:30:00	MST						
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106SC2	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		RBP2, Substrate, organic, detritus, sticks, wood, etc. (CPOM)	RBP2, Substrate, organic, detritus, sticks, wood, etc. (CPOM)~~~~~~~~~%		Actual		5	Validated	5	%	Sub Samp						~		2008-12-07 14:30:00	MST						
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106SC2	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		Kick Depth	Kick Depth~~~~~~~~~ft		Actual		1.25	Validated	1.25	ft	Sub Samp						~		2008-12-07 14:30:00	MST						
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106SC2	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		RBP2, Substrate, inorganic, cobble, 64-256 mm	RBP2, Substrate, inorganic, cobble, 64-256 mm~~~~~~~~~%		Actual		70	Validated	70	%	Sub Samp						~		2008-12-07 14:30:00	MST						
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106SC2	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		RBP2, Substrate, Inorganic, boulder, >256 mm	RBP2, Substrate, Inorganic, boulder, >256 mm~~~~~~~~~%		Actual		10	Validated	10	%	Sub Samp						~		2008-12-07 14:30:00	MST						
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106SC2	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		RBP2, Substrate, inorganic, bedrock	RBP2, Substrate, inorganic, bedrock~~~~~~~~~%		Actual		0	Validated	0	%	Sub Samp						~		2008-12-07 14:30:00	MST						
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106XS	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		Cross-section Depth	Cross-section Depth~~~~~~~~~ft		Actual		2	Validated	2	ft	XS Depth						~		2008-12-07 14:30:00	MST						
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106XS	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		Cross-section Depth	Cross-section Depth~~~~~~~~~ft		Actual		6	Validated	6	ft	XS Depth						~		2008-12-07 14:30:00	MST						
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106XS	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		Cross-section Depth	Cross-section Depth~~~~~~~~~ft		Actual		9	Validated	9	ft	XS Depth						~		2008-12-07 14:30:00	MST						
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106XS	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		Cross-section Depth	Cross-section Depth~~~~~~~~~ft		Actual		17	Validated	17	ft	XS Depth						~		2008-12-07 14:30:00	MST						
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106XS	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		Cross-section Depth	Cross-section Depth~~~~~~~~~ft		Actual		18	Validated	18	ft	XS Depth						~		2008-12-07 14:30:00	MST						
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106XS	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		Cross-section Depth	Cross-section Depth~~~~~~~~~ft		Actual		19	Validated	19	ft	XS Depth						~		2008-12-07 14:30:00	MST						
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106XS	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		Cross-section Depth	Cross-section Depth~~~~~~~~~ft		Actual		22	Validated	22	ft	XS Depth						~		2008-12-07 14:30:00	MST						
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106XS	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		Cross-section Depth	Cross-section Depth~~~~~~~~~ft		Actual		24	Validated	24	ft	XS Depth						~		2008-12-07 14:30:00	MST						
