Org Name	Station ID	State	County	HUC	Generated HUC	Station Latitude	Station Longitude	Station Horizontal Datum	Visit Num	Activity ID	Activity Start	Activity Start Zone	Activity Medium	Activity Type	Activity Category-Rep Num	Activity Intent	Community Sampled	Subject Taxon	Biopart	Activity Depth	Activity Depth Unit	Sample Collection ID	Field Gear ID	Characteristic Name	Characteristic Description	Sample Fraction	Value Type	Statistic Type	Result Value as Text	Result Value Status	Result Value as Number	Units	Activity Comment	Result Comment	Result Measure Qualifier	Weight Basis	Temperature Basis	Duration Basis	Analytical Proc ID	All Result Detections/Thresholds	Analysis Date	Analysis Date Zone	Conf Level	Confidence Interval	Bio Individual Number	Sampling Component	Place In Series	Result Depth Height	Result Depth Height Unit	Result Depth Altitude Ref Point	Result Sampling Point	Bio Individual	Group Summary Count Weight	Frequency Class
Colorado Dept. of Public Health & Environment-WQCD	12336	COLORADO	EL PASO	14010002	14010002	39.502819	-106.139769	NAD83       		20030508:12336:1	2003-05-08 00:00:00		Biological	Sample-Routine	Sample-Routine	Population Census	Benthic Macroinvertebrates	Sperchon 				21COL001_WQX~SCM	Kick Net	Sperchon	(Kramer 1877) ~ http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=83006~Sperchon~~~~~~~~~~UserDefined~count		Actual		1	Final	1	count		The count listed as the result is the number of individuals. The CO MMI Subsample (Ind_300) is: 1 - Taxonomic Name as listed by CDPHE: Sperchon - Fast or Slow Riffle?: Fast Riffle					~															
Colorado Dept. of Public Health & Environment-WQCD	12336	COLORADO	EL PASO	14010002	14010002	39.502819	-106.139769	NAD83       		20111011:12336:1	2011-10-11 00:00:00		Biological	Sample-Routine	Sample-Routine	Population Census	Benthic Macroinvertebrates	Lebertia 				21COL001_WQX~SCM	Kick Net	Lebertia	(Neuman 1880) ~ http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=83034~Lebertia~~~~~~~~~~UserDefined~count		Actual		2	Final	2	count		The count listed as the result is the number of individuals. The CO MMI Subsample (Ind_300) is: 2 - Taxonomic Name as listed by CDPHE: Lebertia - Fast or Slow Riffle?: Fast Riffle					~															
Colorado Dept. of Public Health & Environment-WQCD	12336	COLORADO	EL PASO	14010002	14010002	39.502819	-106.139769	NAD83       		19980923:12336:2	1998-09-23 00:00:00		Biological	Sample-Routine	Sample-Routine	Population Census	Benthic Macroinvertebrates	Acentrella turbida 				21COL001_WQX~SCM	Kick Net	Acentrella turbida	(McDunnough 1924) ~ http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=568574~Acentrella turbida~~~~~~~~~~~count		Actual		1	Final	1	count		The count listed as the result is the number of individuals. The CO MMI Subsample (Ind_300) is: 1 - Taxonomic Name as listed by CDPHE: Acentrella turbida - Fast or Slow Riffle?: Slow Riffle					~															
Colorado Dept. of Public Health & Environment-WQCD	12336	COLORADO	EL PASO	14010002	14010002	39.502819	-106.139769	NAD83       		19980923:12336:2	1998-09-23 00:00:00		Biological	Sample-Routine	Sample-Routine	Population Census	Benthic Macroinvertebrates	Megarcys signata 				21COL001_WQX~SCM	Kick Net	Megarcys signata	(Hagen 1874) ~ http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=103111~Megarcys signata~~~~~~~~~~~count		Actual		3	Final	3	count		The count listed as the result is the number of individuals. The CO MMI Subsample (Ind_300) is: 3 - Taxonomic Name as listed by CDPHE: Megarcys signata - Fast or Slow Riffle?: Slow Riffle					~															
Colorado Dept. of Public Health & Environment-WQCD	12336	COLORADO	EL PASO	14010002	14010002	39.502819	-106.139769	NAD83       		19980923:12336:2	1998-09-23 00:00:00		Biological	Sample-Routine	Sample-Routine	Population Census	Benthic Macroinvertebrates	Capniidae 				21COL001_WQX~SCM	Kick Net	Capniidae	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=102643~Capniidae~~~~~~~~~~~count		Actual		42	Final	42	count		The count listed as the result is the number of individuals. The CO MMI Subsample (Ind_300) is: 42 - Taxonomic Name as listed by CDPHE: Capniidae - Fast or Slow Riffle?: Slow Riffle					~															
Colorado Dept. of Public Health & Environment-WQCD	12336	COLORADO	EL PASO	14010002	14010002	39.502819	-106.139769	NAD83       		20111011:12336:1	2011-10-11 00:00:00		Biological	Sample-Routine	Sample-Routine	Population Census	Benthic Macroinvertebrates	Paracapnia angulata 				21COL001_WQX~SCM	Kick Net	Paracapnia angulata	(Hanson 1961) ~ http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=102805~Paracapnia angulata~~~~~~~~~~~count		Actual		45	Final	45	count		The count listed as the result is the number of individuals. The CO MMI Subsample (Ind_300) is: 45 - Taxonomic Name as listed by CDPHE: Paracapnia angulata - Fast or Slow Riffle?: Fast Riffle					~															
Colorado Dept. of Public Health & Environment-WQCD	12336	COLORADO	EL PASO	14010002	14010002	39.502819	-106.139769	NAD83       		20111011:12336:1	2011-10-11 00:00:00		Biological	Sample-Routine	Sample-Routine	Population Census	Benthic Macroinvertebrates	Malenka 				21COL001_WQX~SCM	Kick Net	Malenka	(Ricker 1952) ~ http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=102567~Malenka~~~~~~~~~~~count		Actual		3	Final	3	count		The count listed as the result is the number of individuals. The CO MMI Subsample (Ind_300) is: 3 - Taxonomic Name as listed by CDPHE: Malenka - Fast or Slow Riffle?: Fast Riffle					~															
Colorado Dept. of Public Health & Environment-WQCD	12336	COLORADO	EL PASO	14010002	14010002	39.502819	-106.139769	NAD83       		20111011:12336:1	2011-10-11 00:00:00		Biological	Sample-Routine	Sample-Routine	Population Census	Benthic Macroinvertebrates	Perlodidae 				21COL001_WQX~SCM	Kick Net	Perlodidae	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=102994~Perlodidae~~~~~~~~~~~count		Actual		3	Final	3	count		The count listed as the result is the number of individuals. The CO MMI Subsample (Ind_300) is: 3 - Taxonomic Name as listed by CDPHE: Perlodidae - Fast or Slow Riffle?: Fast Riffle					~															
Colorado Dept. of Public Health & Environment-WQCD	12336	COLORADO	EL PASO	14010002	14010002	39.502819	-106.139769	NAD83       		20030508:12336:2	2003-05-08 00:00:00		Biological	Sample-Routine	Sample-Routine	Population Census	Benthic Macroinvertebrates	Arctopsyche grandis 				21COL001_WQX~SCM	Kick Net	Arctopsyche grandis	(Banks 1900) ~ http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=115530~Arctopsyche grandis~~~~~~~~~~~count		Actual		10	Final	10	count		The count listed as the result is the number of individuals. The CO MMI Subsample (Ind_300) is: 10 - Taxonomic Name as listed by CDPHE: Arctopsyche grandis - Fast or Slow Riffle?: Slow Riffle					~															
Colorado Dept. of Public Health & Environment-WQCD	12336	COLORADO	EL PASO	14010002	14010002	39.502819	-106.139769	NAD83       		20111011:12336:1	2011-10-11 00:00:00		Biological	Sample-Routine	Sample-Routine	Population Census	Benthic Macroinvertebrates	Baetis tricaudatus 				21COL001_WQX~SCM	Kick Net	Baetis tricaudatus	(Dodds 1923) ~ http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=100817~Baetis tricaudatus~~~~~~~~~~~count		Actual		4	Final	4	count		The count listed as the result is the number of individuals. The CO MMI Subsample (Ind_300) is: 4 - Taxonomic Name as listed by CDPHE: Baetis tricaudatus - Fast or Slow Riffle?: Fast Riffle					~															
Colorado Dept. of Public Health & Environment-WQCD	12336	COLORADO	EL PASO	14010002	14010002	39.502819	-106.139769	NAD83       		20111011:12336:1	2011-10-11 00:00:00		Biological	Sample-Routine	Sample-Routine	Population Census	Benthic Macroinvertebrates	Cricotopus (Cricotopus) 				21COL001_WQX~SCM	Kick Net	Cricotopus (Cricotopus)	(Wulp 1874) ~ http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=568521~Cricotopus (Cricotopus)~~~~~~~~~~~count		Actual		1	Final	1	count		The count listed as the result is the number of individuals. The CO MMI Subsample (Ind_300) is: 1 - Taxonomic Name as listed by CDPHE: Cricotopus/Orthocladius - Fast or Slow Riffle?: Fast Riffle					~															
Colorado Dept. of Public Health & Environment-WQCD	12336	COLORADO	EL PASO	14010002	14010002	39.502819	-106.139769	NAD83       		20030508:12336:1	2003-05-08 00:00:00		Biological	Sample-Routine	Sample-Routine	Population Census	Benthic Macroinvertebrates	Podmosta 				21COL001_WQX~SCM	Kick Net	Podmosta	(Ricker 1952) ~ http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=102605~Podmosta~~~~~~~~~~~count		Actual		1	Final	1	count		The count listed as the result is the number of individuals. The CO MMI Subsample (Ind_300) is: 1 - Taxonomic Name as listed by CDPHE: Podmosta - Fast or Slow Riffle?: Fast Riffle					~															
Colorado Dept. of Public Health & Environment-WQCD	12336	COLORADO	EL PASO	14010002	14010002	39.502819	-106.139769	NAD83       		20111011:12336:1	2011-10-11 00:00:00		Biological	Sample-Routine	Sample-Routine	Population Census	Benthic Macroinvertebrates	Orthocladius 				21COL001_WQX~SCM	Kick Net	Orthocladius	(Wulp 1874) ~ http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=128874~Orthocladius~~~~~~~~~~~count		Actual		3	Final	3	count		The count listed as the result is the number of individuals. The CO MMI Subsample (Ind_300) is: 3 - Taxonomic Name as listed by CDPHE: Orthocladius - Fast or Slow Riffle?: Fast Riffle					~															
Colorado Dept. of Public Health & Environment-WQCD	12336	COLORADO	EL PASO	14010002	14010002	39.502819	-106.139769	NAD83       		20111011:12336:1	2011-10-11 00:00:00		Biological	Sample-Routine	Sample-Routine	Population Census	Benthic Macroinvertebrates	Brachycentrus americanus 				21COL001_WQX~SCM	Kick Net	Brachycentrus americanus	(Banks 1899) ~ http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=116912~Brachycentrus americanus~~~~~~~~~~~count		Actual		1	Final	1	count		The count listed as the result is the number of individuals. The CO MMI Subsample (Ind_300) is: 1 - Taxonomic Name as listed by CDPHE: Brachycentrus americanus - Fast or Slow Riffle?: Fast Riffle					~															
Colorado Dept. of Public Health & Environment-WQCD	12336	COLORADO	EL PASO	14010002	14010002	39.502819	-106.139769	NAD83       		20111011:12336:1	2011-10-11 00:00:00		Biological	Sample-Routine	Sample-Routine	Population Census	Benthic Macroinvertebrates	Pagastia 				21COL001_WQX~SCM	Kick Net	Pagastia	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=128401~Pagastia~~~~~~~~~~~count		Actual		1	Final	1	count		The count listed as the result is the number of individuals. The CO MMI Subsample (Ind_300) is: 1 - Taxonomic Name as listed by CDPHE: Pagastia - Fast or Slow Riffle?: Fast Riffle					~															
Colorado Dept. of Public Health & Environment-WQCD	12336	COLORADO	EL PASO	14010002	14010002	39.502819	-106.139769	NAD83       		20030508:12336:2	2003-05-08 00:00:00		Biological	Sample-Routine	Sample-Routine	Population Census	Benthic Macroinvertebrates	Zapada 				21COL001_WQX~SCM	Kick Net	Zapada	(Ricker 1952) ~ http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=102591~Zapada~~~~~~~~~~~count		Actual		4	Final	4	count		The count listed as the result is the number of individuals. The CO MMI Subsample (Ind_300) is: 4 - Taxonomic Name as listed by CDPHE: Zapada - Fast or Slow Riffle?: Slow Riffle					~															
Colorado Dept. of Public Health & Environment-WQCD	12336	COLORADO	EL PASO	14010002	14010002	39.502819	-106.139769	NAD83       		19980923:12336:2	1998-09-23 00:00:00		Biological	Sample-Routine	Sample-Routine	Population Census	Benthic Macroinvertebrates	Doddsia occidentalis 				21COL001_WQX~SCM	Kick Net	Doddsia occidentalis	(Banks 1900) ~ http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=102839~Doddsia occidentalis~~~~~~~~~~~count		Actual		11	Final	11	count		The count listed as the result is the number of individuals. The CO MMI Subsample (Ind_300) is: 11 - Taxonomic Name as listed by CDPHE: Doddsia occidentalis - Fast or Slow Riffle?: Slow Riffle					~															
Colorado Dept. of Public Health & Environment-WQCD	12336	COLORADO	EL PASO	14010002	14010002	39.502819	-106.139769	NAD83       		19980923:12336:2	1998-09-23 00:00:00		Biological	Sample-Routine	Sample-Routine	Population Census	Benthic Macroinvertebrates	Paraleuctra 				21COL001_WQX~SCM	Kick Net	Paraleuctra	(Hanson 1941) ~ http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=102887~Paraleuctra~~~~~~~~~~~count		Actual		2	Final	2	count		The count listed as the result is the number of individuals. The CO MMI Subsample (Ind_300) is: 2 - Taxonomic Name as listed by CDPHE: Paraleuctra - Fast or Slow Riffle?: Slow Riffle					~															
Colorado Dept. of Public Health & Environment-WQCD	12336	COLORADO	EL PASO	14010002	14010002	39.502819	-106.139769	NAD83       		20111011:12336:1	2011-10-11 00:00:00		Biological	Sample-Routine	Sample-Routine	Population Census	Benthic Macroinvertebrates	Cricotopus (Cricotopus) 				21COL001_WQX~SCM	Kick Net	Cricotopus (Cricotopus)	(Wulp 1874) ~ http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=568521~Cricotopus (Cricotopus)~~~~~~~~~~~count		Actual		2	Final	2	count		The count listed as the result is the number of individuals. The CO MMI Subsample (Ind_300) is: 2 - Taxonomic Name as listed by CDPHE: Cricotopus/Orthocladius - Fast or Slow Riffle?: Fast Riffle					~															
