Org Name	Station ID	State	County	HUC	Generated HUC	Station Latitude	Station Longitude	Station Horizontal Datum	Activity ID	Index ID	Index Type ID	Index Type Name	Index Score	Index Calculated Date
Colorado Dept. of Public Health & Environment-WQCD	12342P	COLORADO	SUMMIT		14010002	39.5967	-105.8745	UNKWN	20020521:12342P:1	20020521:12342P:1	21COL001_WQX~CDPHE MMI	CDPHE MMI	46.3	21-May-02
Colorado Dept. of Public Health & Environment-WQCD	12322C	COLORADO	SUMMIT		14010002	39.65	-106	UNKWN	19980919:12322C:2	19980919:12322C:2	21COL001_WQX~CDPHE MMI	CDPHE MMI	38.4	19-Sep-98
Colorado Dept. of Public Health & Environment-WQCD	12322C	COLORADO	SUMMIT		14010002	39.65	-106	UNKWN	19980919:12322C:1	19980919:12322C:1	21COL001_WQX~CDPHE MMI	CDPHE MMI	44.8	19-Sep-98
Colorado Dept. of Public Health & Environment-WQCD	115	COLORADO	SUMMIT		14010002	39.56666	-106.0491	UNKWN	20110831:115:1	20110831:115:1	21COL001_WQX~CDPHE MMI	CDPHE MMI	31.3	31-Aug-11
Colorado Dept. of Public Health & Environment-WQCD	115	COLORADO	SUMMIT		14010002	39.56666	-106.0491	UNKWN	20040512:115:3	20040512:115:3	21COL001_WQX~CDPHE MMI	CDPHE MMI	64.0	12-May-04
Colorado Dept. of Public Health & Environment-WQCD	115	COLORADO	SUMMIT		14010002	39.56666	-106.0491	UNKWN	20040512:115:2	20040512:115:2	21COL001_WQX~CDPHE MMI	CDPHE MMI	90.4	12-May-04
Colorado Dept. of Public Health & Environment-WQCD	115	COLORADO	SUMMIT		14010002	39.56666	-106.0491	UNKWN	20040512:115:1	20040512:115:1	21COL001_WQX~CDPHE MMI	CDPHE MMI	90.4	12-May-04
Colorado Dept. of Public Health & Environment-WQCD	115	COLORADO	SUMMIT		14010002	39.56666	-106.0491	UNKWN	20030611:115:2	20030611:115:2	21COL001_WQX~CDPHE MMI	CDPHE MMI	81.7	11-Jun-03
Colorado Dept. of Public Health & Environment-WQCD	115	COLORADO	SUMMIT		14010002	39.56666	-106.0491	UNKWN	20030611:115:1	20030611:115:1	21COL001_WQX~CDPHE MMI	CDPHE MMI	68.7	11-Jun-03
Colorado Dept. of Public Health & Environment-WQCD	115	COLORADO	SUMMIT		14010002	39.56666	-106.0491	UNKWN	20000425:115:2	20000425:115:2	21COL001_WQX~CDPHE MMI	CDPHE MMI	77.9	25-Apr-00
Colorado Dept. of Public Health & Environment-WQCD	115	COLORADO	SUMMIT		14010002	39.56666	-106.0491	UNKWN	20000425:115:1	20000425:115:1	21COL001_WQX~CDPHE MMI	CDPHE MMI	76.3	25-Apr-00
Colorado Dept. of Public Health & Environment-WQCD	12345	COLORADO	SUMMIT	14010002	14010002	39.581944	-105.871667	UNKWN	20000530:12345:1	20000530:12345:1	21COL001_WQX~CDPHE MMI	CDPHE MMI	44.5	30-May-00
Colorado Dept. of Public Health & Environment-WQCD	12345	COLORADO	SUMMIT	14010002	14010002	39.581944	-105.871667	UNKWN	20000530:12345:0	20000530:12345:0	21COL001_WQX~CDPHE MMI	CDPHE MMI	11.4	30-May-00
Colorado Dept. of Public Health & Environment-WQCD	12337	COLORADO	SUMMIT	14010002	14010002	39.416667	-106.15	UNKWN	20030508:12337:2	20030508:12337:2	21COL001_WQX~CDPHE MMI	CDPHE MMI	25.7	08-May-03
Colorado Dept. of Public Health & Environment-WQCD	12337	COLORADO	SUMMIT	14010002	14010002	39.416667	-106.15	UNKWN	20030508:12337:1	20030508:12337:1	21COL001_WQX~CDPHE MMI	CDPHE MMI	20.2	08-May-03
Colorado Dept. of Public Health & Environment-WQCD	12343	COLORADO	SUMMIT	14010002	14010002	39.606028	-105.9415	UNKWN	20040511:12343:2	20040511:12343:2	21COL001_WQX~CDPHE MMI	CDPHE MMI	19.2	11-May-04
Colorado Dept. of Public Health & Environment-WQCD	12343	COLORADO	SUMMIT	14010002	14010002	39.606028	-105.9415	UNKWN	20040511:12343:1	20040511:12343:1	21COL001_WQX~CDPHE MMI	CDPHE MMI	24.5	11-May-04
Colorado Dept. of Public Health & Environment-WQCD	12343	COLORADO	SUMMIT	14010002	14010002	39.606028	-105.9415	UNKWN	20000525:12343:1	20000525:12343:1	21COL001_WQX~CDPHE MMI	CDPHE MMI	36.2	25-May-00
Colorado Dept. of Public Health & Environment-WQCD	12343	COLORADO	SUMMIT	14010002	14010002	39.606028	-105.9415	UNKWN	20000525:12343:0	20000525:12343:0	21COL001_WQX~CDPHE MMI	CDPHE MMI	16.7	25-May-00
Colorado Dept. of Public Health & Environment-WQCD	12364	COLORADO	SUMMIT	14010002	14010002	39.472256	-106.038795	WGS84	19980923:12364:1	19980923:12364:1	21COL001_WQX~CDPHE MMI	CDPHE MMI	65.9	23-Sep-98
Colorado Dept. of Public Health & Environment-WQCD	12364	COLORADO	SUMMIT	14010002	14010002	39.472256	-106.038795	WGS84	19980923:12364:0	19980923:12364:0	21COL001_WQX~CDPHE MMI	CDPHE MMI	61.7	23-Sep-98
Colorado Dept. of Public Health & Environment-WQCD	12304B	COLORADO	SUMMIT	14010002	14010002	39.486239	-106.046837	WGS84	20110831:12304b:3	20110831:12304b:3	21COL001_WQX~CDPHE MMI	CDPHE MMI	43.9	31-Aug-11
Colorado Dept. of Public Health & Environment-WQCD	12304B	COLORADO	SUMMIT	14010002	14010002	39.486239	-106.046837	WGS84	20110831:12304b:1	20110831:12304b:1	21COL001_WQX~CDPHE MMI	CDPHE MMI	38.8	31-Aug-11
Colorado Dept. of Public Health & Environment-WQCD	12304B	COLORADO	SUMMIT	14010002	14010002	39.486239	-106.046837	WGS84	20040512:12304b:3	20040512:12304b:3	21COL001_WQX~CDPHE MMI	CDPHE MMI	16.7	12-May-04
Colorado Dept. of Public Health & Environment-WQCD	12304B	COLORADO	SUMMIT	14010002	14010002	39.486239	-106.046837	WGS84	20040512:12304b:2	20040512:12304b:2	21COL001_WQX~CDPHE MMI	CDPHE MMI	17.2	12-May-04
Colorado Dept. of Public Health & Environment-WQCD	12304B	COLORADO	SUMMIT	14010002	14010002	39.486239	-106.046837	WGS84	20040512:12304b:1	20040512:12304b:1	21COL001_WQX~CDPHE MMI	CDPHE MMI	19.7	12-May-04
Colorado Dept. of Public Health & Environment-WQCD	12372C	COLORADO	SUMMIT	14010002	14010002	39.835687	-106.316343	WGS84	20060918:12372C:2	20060918:12372C:2	21COL001_WQX~CDPHE MMI	CDPHE MMI	66.3	18-Sep-06
Colorado Dept. of Public Health & Environment-WQCD	12372C	COLORADO	SUMMIT	14010002	14010002	39.835687	-106.316343	WGS84	20060918:12372C:1	20060918:12372C:1	21COL001_WQX~CDPHE MMI	CDPHE MMI	67.2	18-Sep-06
Colorado Dept. of Public Health & Environment-WQCD	12343A	COLORADO	SUMMIT	14010002	14010002	39.60685	-105.941472	WGS84	20110831:12343A:1	20110831:12343A:1	21COL001_WQX~CDPHE MMI	CDPHE MMI	52.7	31-Aug-11
Colorado Dept. of Public Health & Environment-WQCD	12343A	COLORADO	SUMMIT	14010002	14010002	39.60685	-105.941472	WGS84	20020521:12343A:2	20020521:12343A:2	21COL001_WQX~CDPHE MMI	CDPHE MMI	73.4	21-May-02
Colorado Dept. of Public Health & Environment-WQCD	12343A	COLORADO	SUMMIT	14010002	14010002	39.60685	-105.941472	WGS84	20020521:12343A:1	20020521:12343A:1	21COL001_WQX~CDPHE MMI	CDPHE MMI	69.9	21-May-02
